Program to calculate energy of water
Input NAME of configuration file : 
Number of molecules 100000
Thread 1 evaluated 62454 pairs
Thread 0 evaluated 71057 pairs
Thread 10 evaluated 65191 pairs
Thread 5 evaluated 74091 pairs
Thread 8 evaluated 91770 pairs
Thread 4 evaluated 80710 pairs
Thread 7 evaluated 68081 pairs
Thread 9 evaluated 77295 pairs
Thread 3 evaluated 87921 pairs
Thread 1 evaluated 62453 pairs
Thread 6 evaluated 84202 pairs
Thread 0 evaluated 71056 pairs
Thread 10 evaluated 65190 pairs
Thread 11 evaluated 95695 pairs
Thread 7 evaluated 68080 pairs
Thread 5 evaluated 74090 pairs
Thread 9 evaluated 77294 pairs
Thread 4 evaluated 80709 pairs
Thread 1 evaluated 62452 pairs
Thread 8 evaluated 91769 pairs
Thread 3 evaluated 87920 pairs
Thread 0 evaluated 71055 pairs
Thread 10 evaluated 65189 pairs
Thread 6 evaluated 84201 pairs
Thread 7 evaluated 68079 pairs
Thread 5 evaluated 74089 pairs
Thread 1 evaluated 62451 pairs
Thread 11 evaluated 95694 pairs
Thread 9 evaluated 77293 pairs
Thread 4 evaluated 80708 pairs
Thread 8 evaluated 91768 pairs
Thread 10 evaluated 65188 pairs
Thread 0 evaluated 71054 pairs
Thread 7 evaluated 68078 pairs
Thread 3 evaluated 87919 pairs
Thread 2 evaluated 99942 pairs
Thread 1 evaluated 62450 pairs
Thread 6 evaluated 84200 pairs
Thread 9 evaluated 77292 pairs
Thread 10 evaluated 65187 pairs
Thread 11 evaluated 95693 pairs
Thread 4 evaluated 80707 pairs
Thread 8 evaluated 91767 pairs
Thread 0 evaluated 71053 pairs
Thread 7 evaluated 68077 pairs
Thread 1 evaluated 62449 pairs
Thread 3 evaluated 87918 pairs
Thread 6 evaluated 84199 pairs
Thread 2 evaluated 99941 pairs
Thread 9 evaluated 77291 pairs
Thread 10 evaluated 65186 pairs
Thread 1 evaluated 62448 pairs
Thread 7 evaluated 68076 pairs
Thread 4 evaluated 80706 pairs
Thread 11 evaluated 95692 pairs
Thread 0 evaluated 71052 pairs
Thread 8 evaluated 91766 pairs
Thread 10 evaluated 65185 pairs
Thread 9 evaluated 77290 pairs
Thread 3 evaluated 87917 pairs
Thread 6 evaluated 84198 pairs
Thread 1 evaluated 62447 pairs
Thread 7 evaluated 68075 pairs
Thread 2 evaluated 99940 pairs
Thread 0 evaluated 71051 pairs
Thread 4 evaluated 80705 pairs
Thread 11 evaluated 95691 pairs
Thread 10 evaluated 65184 pairs
Thread 8 evaluated 91765 pairs
Thread 1 evaluated 62446 pairs
Thread 9 evaluated 77289 pairs
Thread 7 evaluated 68074 pairs
Thread 6 evaluated 84197 pairs
Thread 3 evaluated 87916 pairs
Thread 0 evaluated 71050 pairs
Thread 10 evaluated 65183 pairs
Thread 2 evaluated 99939 pairs
Thread 4 evaluated 80704 pairs
Thread 1 evaluated 62445 pairs
Thread 11 evaluated 95690 pairs
Thread 7 evaluated 68073 pairs
Thread 9 evaluated 77288 pairs
Thread 8 evaluated 91764 pairs
Thread 10 evaluated 65182 pairs
Thread 6 evaluated 84196 pairs
Thread 0 evaluated 71049 pairs
Thread 3 evaluated 87915 pairs
Thread 1 evaluated 62444 pairs
Thread 4 evaluated 80703 pairs
Thread 7 evaluated 68072 pairs
Thread 2 evaluated 99938 pairs
Thread 9 evaluated 77287 pairs
Thread 11 evaluated 95689 pairs
Thread 8 evaluated 91763 pairs
Thread 10 evaluated 65181 pairs
Thread 1 evaluated 62443 pairs
Thread 0 evaluated 71048 pairs
Thread 6 evaluated 84195 pairs
Thread 7 evaluated 68071 pairs
Thread 3 evaluated 87914 pairs
Thread 4 evaluated 80702 pairs
Thread 9 evaluated 77286 pairs
Thread 10 evaluated 65180 pairs
Thread 2 evaluated 99937 pairs
Thread 1 evaluated 62442 pairs
Thread 11 evaluated 95688 pairs
Thread 8 evaluated 91762 pairs
Thread 0 evaluated 71047 pairs
Thread 7 evaluated 68070 pairs
Thread 6 evaluated 84194 pairs
Thread 10 evaluated 65179 pairs
Thread 9 evaluated 77285 pairs
Thread 3 evaluated 87913 pairs
Thread 1 evaluated 62441 pairs
Thread 4 evaluated 80701 pairs
Thread 0 evaluated 71046 pairs
Thread 2 evaluated 99936 pairs
Thread 7 evaluated 68069 pairs
Thread 8 evaluated 91761 pairs
Thread 11 evaluated 95687 pairs
Thread 10 evaluated 65178 pairs
Thread 1 evaluated 62440 pairs
Thread 6 evaluated 84193 pairs
Thread 9 evaluated 77284 pairs
Thread 3 evaluated 87912 pairs
Thread 4 evaluated 80700 pairs
Thread 7 evaluated 68068 pairs
Thread 0 evaluated 71045 pairs
Thread 10 evaluated 65177 pairs
Thread 1 evaluated 62439 pairs
Thread 8 evaluated 91760 pairs
Thread 2 evaluated 99935 pairs
Thread 11 evaluated 95686 pairs
Thread 9 evaluated 77283 pairs
Thread 6 evaluated 84192 pairs
Thread 7 evaluated 68067 pairs
Thread 4 evaluated 80699 pairs
Thread 0 evaluated 71044 pairs
Thread 1 evaluated 62438 pairs
Thread 3 evaluated 87911 pairs
Thread 10 evaluated 65176 pairs
Thread 8 evaluated 91759 pairs
Thread 9 evaluated 77282 pairs
Thread 2 evaluated 99934 pairs
Thread 11 evaluated 95685 pairs
Thread 7 evaluated 68066 pairs
Thread 1 evaluated 62437 pairs
Thread 6 evaluated 84191 pairs
Thread 10 evaluated 65175 pairs
Thread 0 evaluated 71043 pairs
Thread 4 evaluated 80698 pairs
Thread 3 evaluated 87910 pairs
Thread 9 evaluated 77281 pairs
Thread 1 evaluated 62436 pairs
Thread 7 evaluated 68065 pairs
Thread 8 evaluated 91758 pairs
Thread 10 evaluated 65174 pairs
Thread 2 evaluated 99933 pairs
Thread 11 evaluated 95684 pairs
Thread 0 evaluated 71042 pairs
Thread 6 evaluated 84190 pairs
Thread 4 evaluated 80697 pairs
Thread 1 evaluated 62435 pairs
Thread 3 evaluated 87909 pairs
Thread 7 evaluated 68064 pairs
Thread 9 evaluated 77280 pairs
Thread 10 evaluated 65173 pairs
Thread 8 evaluated 91757 pairs
Thread 0 evaluated 71041 pairs
Thread 11 evaluated 95683 pairs
Thread 6 evaluated 84189 pairs
Thread 1 evaluated 62434 pairs
Thread 2 evaluated 99932 pairs
Thread 4 evaluated 80696 pairs
Thread 7 evaluated 68063 pairs
Thread 10 evaluated 65172 pairs
Thread 9 evaluated 77279 pairs
Thread 3 evaluated 87908 pairs
Thread 0 evaluated 71040 pairs
Thread 1 evaluated 62433 pairs
Thread 8 evaluated 91756 pairs
Thread 7 evaluated 68062 pairs
Thread 10 evaluated 65171 pairs
Thread 6 evaluated 84188 pairs
Thread 11 evaluated 95682 pairs
Thread 4 evaluated 80695 pairs
Thread 2 evaluated 99931 pairs
Thread 9 evaluated 77278 pairs
Thread 1 evaluated 62432 pairs
Thread 3 evaluated 87907 pairs
Thread 0 evaluated 71039 pairs
Thread 10 evaluated 65170 pairs
Thread 7 evaluated 68061 pairs
Thread 8 evaluated 91755 pairs
Thread 9 evaluated 77277 pairs
Thread 6 evaluated 84187 pairs
Thread 4 evaluated 80694 pairs
Thread 1 evaluated 62431 pairs
Thread 11 evaluated 95681 pairs
Thread 5 evaluated 74088 pairs
Thread 0 evaluated 71038 pairs
Thread 10 evaluated 65169 pairs
Thread 7 evaluated 68060 pairs
Thread 3 evaluated 87906 pairs
Thread 8 evaluated 91754 pairs
Thread 1 evaluated 62430 pairs
Thread 9 evaluated 77276 pairs
Thread 5 evaluated 74087 pairs
Thread 6 evaluated 84186 pairs
Thread 4 evaluated 80693 pairs
Thread 10 evaluated 65168 pairs
Thread 11 evaluated 95680 pairs
Thread 7 evaluated 68059 pairs
Thread 0 evaluated 71037 pairs
Thread 1 evaluated 62429 pairs
Thread 3 evaluated 87905 pairs
Thread 9 evaluated 77275 pairs
Thread 8 evaluated 91753 pairs
Thread 5 evaluated 74086 pairs
Thread 10 evaluated 65167 pairs
Thread 7 evaluated 68058 pairs
Thread 4 evaluated 80692 pairs
Thread 6 evaluated 84185 pairs
Thread 0 evaluated 71036 pairs
Thread 1 evaluated 62428 pairs
Thread 11 evaluated 95679 pairs
Thread 10 evaluated 65166 pairs
Thread 9 evaluated 77274 pairs
Thread 5 evaluated 74085 pairs
Thread 3 evaluated 87904 pairs
Thread 7 evaluated 68057 pairs
Thread 8 evaluated 91752 pairs
Thread 1 evaluated 62427 pairs
Thread 0 evaluated 71035 pairs
Thread 4 evaluated 80691 pairs
Thread 6 evaluated 84184 pairs
Thread 10 evaluated 65165 pairs
Thread 11 evaluated 95678 pairs
Thread 9 evaluated 77273 pairs
Thread 7 evaluated 68056 pairs
Thread 5 evaluated 74084 pairs
Thread 1 evaluated 62426 pairs
Thread 3 evaluated 87903 pairs
Thread 0 evaluated 71034 pairs
Thread 8 evaluated 91751 pairs
Thread 4 evaluated 80690 pairs
Thread 10 evaluated 65164 pairs
Thread 6 evaluated 84183 pairs
Thread 7 evaluated 68055 pairs
Thread 9 evaluated 77272 pairs
Thread 1 evaluated 62425 pairs
Thread 5 evaluated 74083 pairs
Thread 11 evaluated 95677 pairs
Thread 0 evaluated 71033 pairs
Thread 10 evaluated 65163 pairs
Thread 3 evaluated 87902 pairs
Thread 8 evaluated 91750 pairs
Thread 4 evaluated 80689 pairs
Thread 1 evaluated 62424 pairs
Thread 7 evaluated 68054 pairs
Thread 6 evaluated 84182 pairs
Thread 5 evaluated 74082 pairs
Thread 9 evaluated 77271 pairs
Thread 11 evaluated 95676 pairs
Thread 10 evaluated 65162 pairs
Thread 0 evaluated 71032 pairs
Thread 1 evaluated 62423 pairs
Thread 7 evaluated 68053 pairs
Thread 3 evaluated 87901 pairs
Thread 8 evaluated 91749 pairs
Thread 4 evaluated 80688 pairs
Thread 5 evaluated 74081 pairs
Thread 9 evaluated 77270 pairs
Thread 6 evaluated 84181 pairs
Thread 10 evaluated 65161 pairs
Thread 0 evaluated 71031 pairs
Thread 1 evaluated 62422 pairs
Thread 7 evaluated 68052 pairs
Thread 11 evaluated 95675 pairs
Thread 5 evaluated 74080 pairs
Thread 9 evaluated 77269 pairs
Thread 3 evaluated 87900 pairs
Thread 4 evaluated 80687 pairs
Thread 10 evaluated 65160 pairs
Thread 8 evaluated 91748 pairs
Thread 6 evaluated 84180 pairs
Thread 1 evaluated 62421 pairs
Thread 0 evaluated 71030 pairs
Thread 7 evaluated 68051 pairs
Thread 11 evaluated 95674 pairs
Thread 5 evaluated 74079 pairs
Thread 10 evaluated 65159 pairs
Thread 9 evaluated 77268 pairs
Thread 1 evaluated 62420 pairs
Thread 4 evaluated 80686 pairs
Thread 3 evaluated 87899 pairs
Thread 8 evaluated 91747 pairs
Thread 7 evaluated 68050 pairs
Thread 0 evaluated 71029 pairs
Thread 6 evaluated 84179 pairs
Thread 10 evaluated 65158 pairs
Thread 5 evaluated 74078 pairs
Thread 1 evaluated 62419 pairs
Thread 9 evaluated 77267 pairs
Thread 11 evaluated 95673 pairs
Thread 7 evaluated 68049 pairs
Thread 4 evaluated 80685 pairs
Thread 0 evaluated 71028 pairs
Thread 8 evaluated 91746 pairs
Thread 3 evaluated 87898 pairs
Thread 6 evaluated 84178 pairs
Thread 10 evaluated 65157 pairs
Thread 1 evaluated 62418 pairs
Thread 5 evaluated 74077 pairs
Thread 9 evaluated 77266 pairs
Thread 7 evaluated 68048 pairs
Thread 11 evaluated 95672 pairs
Thread 0 evaluated 71027 pairs
Thread 10 evaluated 65156 pairs
Thread 4 evaluated 80684 pairs
Thread 1 evaluated 62417 pairs
Thread 8 evaluated 91745 pairs
Thread 3 evaluated 87897 pairs
Thread 5 evaluated 74076 pairs
Thread 6 evaluated 84177 pairs
Thread 9 evaluated 77265 pairs
Thread 7 evaluated 68047 pairs
Thread 10 evaluated 65155 pairs
Thread 1 evaluated 62416 pairs
Thread 0 evaluated 71026 pairs
Thread 11 evaluated 95671 pairs
Thread 4 evaluated 80683 pairs
Thread 5 evaluated 74075 pairs
Thread 8 evaluated 91744 pairs
Thread 7 evaluated 68046 pairs
Thread 3 evaluated 87896 pairs
Thread 6 evaluated 84176 pairs
Thread 9 evaluated 77264 pairs
Thread 10 evaluated 65154 pairs
Thread 1 evaluated 62415 pairs
Thread 0 evaluated 71025 pairs
Thread 5 evaluated 74074 pairs
Thread 4 evaluated 80682 pairs
Thread 7 evaluated 68045 pairs
Thread 11 evaluated 95670 pairs
Thread 1 evaluated 62414 pairs
Thread 9 evaluated 77263 pairs
Thread 10 evaluated 65153 pairs
Thread 8 evaluated 91743 pairs
Thread 6 evaluated 84175 pairs
Thread 3 evaluated 87895 pairs
Thread 0 evaluated 71024 pairs
Thread 5 evaluated 74073 pairs
Thread 7 evaluated 68044 pairs
Thread 1 evaluated 62413 pairs
Thread 10 evaluated 65152 pairs
Thread 4 evaluated 80681 pairs
Thread 9 evaluated 77262 pairs
Thread 11 evaluated 95669 pairs
Thread 8 evaluated 91742 pairs
Thread 6 evaluated 84174 pairs
Thread 0 evaluated 71023 pairs
Thread 3 evaluated 87894 pairs
Thread 7 evaluated 68043 pairs
Thread 1 evaluated 62412 pairs
Thread 5 evaluated 74072 pairs
Thread 10 evaluated 65151 pairs
Thread 9 evaluated 77261 pairs
Thread 4 evaluated 80680 pairs
Thread 11 evaluated 95668 pairs
Thread 0 evaluated 71022 pairs
Thread 1 evaluated 62411 pairs
Thread 8 evaluated 91741 pairs
Thread 7 evaluated 68042 pairs
Thread 6 evaluated 84173 pairs
Thread 10 evaluated 65150 pairs
Thread 5 evaluated 74071 pairs
Thread 3 evaluated 87893 pairs
Thread 9 evaluated 77260 pairs
Thread 4 evaluated 80679 pairs
Thread 1 evaluated 62410 pairs
Thread 7 evaluated 68041 pairs
Thread 0 evaluated 71021 pairs
Thread 10 evaluated 65149 pairs
Thread 5 evaluated 74070 pairs
Thread 11 evaluated 95667 pairs
Thread 8 evaluated 91740 pairs
Thread 6 evaluated 84172 pairs
Thread 3 evaluated 87892 pairs
Thread 9 evaluated 77259 pairs
Thread 1 evaluated 62409 pairs
Thread 7 evaluated 68040 pairs
Thread 10 evaluated 65148 pairs
Thread 4 evaluated 80678 pairs
Thread 0 evaluated 71020 pairs
Thread 5 evaluated 74069 pairs
Thread 8 evaluated 91739 pairs
Thread 11 evaluated 95666 pairs
Thread 1 evaluated 62408 pairs
Thread 6 evaluated 84171 pairs
Thread 9 evaluated 77258 pairs
Thread 10 evaluated 65147 pairs
Thread 7 evaluated 68039 pairs
Thread 3 evaluated 87891 pairs
Thread 0 evaluated 71019 pairs
Thread 4 evaluated 80677 pairs
Thread 5 evaluated 74068 pairs
Thread 1 evaluated 62407 pairs
Thread 10 evaluated 65146 pairs
Thread 7 evaluated 68038 pairs
Thread 8 evaluated 91738 pairs
Thread 9 evaluated 77257 pairs
Thread 11 evaluated 95665 pairs
Thread 6 evaluated 84170 pairs
Thread 3 evaluated 87890 pairs
Thread 0 evaluated 71018 pairs
Thread 5 evaluated 74067 pairs
Thread 1 evaluated 62406 pairs
Thread 4 evaluated 80676 pairs
Thread 10 evaluated 65145 pairs
Thread 7 evaluated 68037 pairs
Thread 9 evaluated 77256 pairs
Thread 8 evaluated 91737 pairs
Thread 6 evaluated 84169 pairs
Thread 1 evaluated 62405 pairs
Thread 11 evaluated 95664 pairs
Thread 5 evaluated 74066 pairs
Thread 0 evaluated 71017 pairs
Thread 3 evaluated 87889 pairs
Thread 10 evaluated 65144 pairs
Thread 4 evaluated 80675 pairs
Thread 7 evaluated 68036 pairs
Thread 9 evaluated 77255 pairs
Thread 1 evaluated 62404 pairs
Thread 5 evaluated 74065 pairs
Thread 0 evaluated 71016 pairs
Thread 8 evaluated 91736 pairs
Thread 6 evaluated 84168 pairs
Thread 10 evaluated 65143 pairs
Thread 11 evaluated 95663 pairs
Thread 7 evaluated 68035 pairs
Thread 3 evaluated 87888 pairs
Thread 4 evaluated 80674 pairs
Thread 1 evaluated 62403 pairs
Thread 9 evaluated 77254 pairs
Thread 10 evaluated 65142 pairs
Thread 0 evaluated 71015 pairs
Thread 2 evaluated 99930 pairs
Thread 7 evaluated 68034 pairs
Thread 8 evaluated 91735 pairs
Thread 6 evaluated 84167 pairs
Thread 1 evaluated 62402 pairs
Thread 11 evaluated 95662 pairs
Thread 4 evaluated 80673 pairs
Thread 9 evaluated 77253 pairs
Thread 3 evaluated 87887 pairs
Thread 10 evaluated 65141 pairs
Thread 0 evaluated 71014 pairs
Thread 7 evaluated 68033 pairs
Thread 1 evaluated 62401 pairs
Thread 8 evaluated 91734 pairs
Thread 6 evaluated 84166 pairs
Thread 2 evaluated 99929 pairs
Thread 9 evaluated 77252 pairs
Thread 10 evaluated 65140 pairs
Thread 11 evaluated 95661 pairs
Thread 4 evaluated 80672 pairs
Thread 3 evaluated 87886 pairs
Thread 7 evaluated 68032 pairs
Thread 1 evaluated 62400 pairs
Thread 0 evaluated 71013 pairs
Thread 10 evaluated 65139 pairs
Thread 6 evaluated 84165 pairs
Thread 8 evaluated 91733 pairs
Thread 9 evaluated 77251 pairs
Thread 2 evaluated 99928 pairs
Thread 7 evaluated 68031 pairs
Thread 1 evaluated 62399 pairs
Thread 4 evaluated 80671 pairs
Thread 11 evaluated 95660 pairs
Thread 0 evaluated 71012 pairs
Thread 3 evaluated 87885 pairs
Thread 10 evaluated 65138 pairs
Thread 1 evaluated 62398 pairs
Thread 9 evaluated 77250 pairs
Thread 7 evaluated 68030 pairs
Thread 6 evaluated 84164 pairs
Thread 8 evaluated 91732 pairs
Thread 0 evaluated 71011 pairs
Thread 4 evaluated 80670 pairs
Thread 2 evaluated 99927 pairs
Thread 10 evaluated 65137 pairs
Thread 11 evaluated 95659 pairs
Thread 3 evaluated 87884 pairs
Thread 1 evaluated 62397 pairs
Thread 7 evaluated 68029 pairs
Thread 9 evaluated 77249 pairs
Thread 6 evaluated 84163 pairs
Thread 8 evaluated 91731 pairs
Thread 0 evaluated 71010 pairs
Thread 10 evaluated 65136 pairs
Thread 4 evaluated 80669 pairs
Thread 1 evaluated 62396 pairs
Thread 2 evaluated 99926 pairs
Thread 11 evaluated 95658 pairs
Thread 7 evaluated 68028 pairs
Thread 3 evaluated 87883 pairs
Thread 9 evaluated 77248 pairs
Thread 10 evaluated 65135 pairs
Thread 0 evaluated 71009 pairs
Thread 1 evaluated 62395 pairs
Thread 6 evaluated 84162 pairs
Thread 8 evaluated 91730 pairs
Thread 4 evaluated 80668 pairs
Thread 7 evaluated 68027 pairs
Thread 9 evaluated 77247 pairs
Thread 2 evaluated 99925 pairs
Thread 11 evaluated 95657 pairs
Thread 10 evaluated 65134 pairs
Thread 3 evaluated 87882 pairs
Thread 1 evaluated 62394 pairs
Thread 0 evaluated 71008 pairs
Thread 7 evaluated 68026 pairs
Thread 6 evaluated 84161 pairs
Thread 8 evaluated 91729 pairs
Thread 4 evaluated 80667 pairs
Thread 10 evaluated 65133 pairs
Thread 9 evaluated 77246 pairs
Thread 1 evaluated 62393 pairs
Thread 11 evaluated 95656 pairs
Thread 2 evaluated 99924 pairs
Thread 0 evaluated 71007 pairs
Thread 3 evaluated 87881 pairs
Thread 7 evaluated 68025 pairs
Thread 10 evaluated 65132 pairs
Thread 1 evaluated 62392 pairs
Thread 6 evaluated 84160 pairs
Thread 4 evaluated 80666 pairs
Thread 8 evaluated 91728 pairs
Thread 9 evaluated 77245 pairs
Thread 0 evaluated 71006 pairs
Thread 7 evaluated 68024 pairs
Thread 11 evaluated 95655 pairs
Thread 10 evaluated 65131 pairs
Thread 2 evaluated 99923 pairs
Thread 1 evaluated 62391 pairs
Thread 3 evaluated 87880 pairs
Thread 9 evaluated 77244 pairs
Thread 6 evaluated 84159 pairs
Thread 4 evaluated 80665 pairs
Thread 8 evaluated 91727 pairs
Thread 7 evaluated 68023 pairs
Thread 0 evaluated 71005 pairs
Thread 10 evaluated 65130 pairs
Thread 1 evaluated 62390 pairs
Thread 11 evaluated 95654 pairs
Thread 3 evaluated 87879 pairs
Thread 2 evaluated 99922 pairs
Thread 9 evaluated 77243 pairs
Thread 7 evaluated 68022 pairs
Thread 4 evaluated 80664 pairs
Thread 6 evaluated 84158 pairs
Thread 1 evaluated 62389 pairs
Thread 10 evaluated 65129 pairs
Thread 8 evaluated 91726 pairs
Thread 0 evaluated 71004 pairs
Thread 9 evaluated 77242 pairs
Thread 11 evaluated 95653 pairs
Thread 7 evaluated 68021 pairs
Thread 1 evaluated 62388 pairs
Thread 3 evaluated 87878 pairs
Thread 10 evaluated 65128 pairs
Thread 2 evaluated 99921 pairs
Thread 4 evaluated 80663 pairs
Thread 0 evaluated 71003 pairs
Thread 6 evaluated 84157 pairs
Thread 8 evaluated 91725 pairs
Thread 1 evaluated 62387 pairs
Thread 7 evaluated 68020 pairs
Thread 10 evaluated 65127 pairs
Thread 9 evaluated 77241 pairs
Thread 11 evaluated 95652 pairs
Thread 0 evaluated 71002 pairs
Thread 3 evaluated 87877 pairs
Thread 4 evaluated 80662 pairs
Thread 6 evaluated 84156 pairs
Thread 2 evaluated 99920 pairs
Thread 8 evaluated 91724 pairs
Thread 1 evaluated 62386 pairs
Thread 7 evaluated 68019 pairs
Thread 10 evaluated 65126 pairs
Thread 9 evaluated 77240 pairs
Thread 0 evaluated 71001 pairs
Thread 11 evaluated 95651 pairs
Thread 1 evaluated 62385 pairs
Thread 3 evaluated 87876 pairs
Thread 4 evaluated 80661 pairs
Thread 10 evaluated 65125 pairs
Thread 7 evaluated 68018 pairs
Thread 6 evaluated 84155 pairs
Thread 2 evaluated 99919 pairs
Thread 8 evaluated 91723 pairs
Thread 9 evaluated 77239 pairs
Thread 0 evaluated 71000 pairs
Thread 1 evaluated 62384 pairs
Thread 10 evaluated 65124 pairs
Thread 7 evaluated 68017 pairs
Thread 4 evaluated 80660 pairs
Thread 11 evaluated 95650 pairs
Thread 3 evaluated 87875 pairs
Thread 6 evaluated 84154 pairs
Thread 9 evaluated 77238 pairs
Thread 8 evaluated 91722 pairs
Thread 2 evaluated 99918 pairs
Thread 1 evaluated 62383 pairs
Thread 0 evaluated 70999 pairs
Thread 10 evaluated 65123 pairs
Thread 7 evaluated 68016 pairs
Thread 4 evaluated 80659 pairs
Thread 1 evaluated 62382 pairs
Thread 9 evaluated 77237 pairs
Thread 11 evaluated 95649 pairs
Thread 3 evaluated 87874 pairs
Thread 6 evaluated 84153 pairs
Thread 10 evaluated 65122 pairs
Thread 8 evaluated 91721 pairs
Thread 0 evaluated 70998 pairs
Thread 7 evaluated 68015 pairs
Thread 2 evaluated 99917 pairs
Thread 1 evaluated 62381 pairs
Thread 4 evaluated 80658 pairs
Thread 9 evaluated 77236 pairs
Thread 10 evaluated 65121 pairs
Thread 6 evaluated 84152 pairs
Thread 7 evaluated 68014 pairs
Thread 11 evaluated 95648 pairs
Thread 3 evaluated 87873 pairs
Thread 0 evaluated 70997 pairs
Thread 8 evaluated 91720 pairs
Thread 1 evaluated 62380 pairs
Thread 2 evaluated 99916 pairs
Thread 10 evaluated 65120 pairs
Thread 9 evaluated 77235 pairs
Thread 4 evaluated 80657 pairs
Thread 7 evaluated 68013 pairs
Thread 0 evaluated 70996 pairs
Thread 6 evaluated 84151 pairs
Thread 1 evaluated 62379 pairs
Thread 11 evaluated 95647 pairs
Thread 3 evaluated 87872 pairs
Thread 8 evaluated 91719 pairs
Thread 10 evaluated 65119 pairs
Thread 7 evaluated 68012 pairs
Thread 9 evaluated 77234 pairs
Thread 2 evaluated 99915 pairs
Thread 4 evaluated 80656 pairs
Thread 1 evaluated 62378 pairs
Thread 0 evaluated 70995 pairs
Thread 6 evaluated 84150 pairs
Thread 10 evaluated 65118 pairs
Thread 11 evaluated 95646 pairs
Thread 3 evaluated 87871 pairs
Thread 8 evaluated 91718 pairs
Thread 7 evaluated 68011 pairs
Thread 9 evaluated 77233 pairs
Thread 1 evaluated 62377 pairs
Thread 0 evaluated 70994 pairs
Thread 2 evaluated 99914 pairs
Thread 4 evaluated 80655 pairs
Thread 10 evaluated 65117 pairs
Thread 6 evaluated 84149 pairs
Thread 7 evaluated 68010 pairs
Thread 1 evaluated 62376 pairs
Thread 3 evaluated 87870 pairs
Thread 11 evaluated 95645 pairs
Thread 8 evaluated 91717 pairs
Thread 9 evaluated 77232 pairs
Thread 0 evaluated 70993 pairs
Thread 10 evaluated 65116 pairs
Thread 4 evaluated 80654 pairs
Thread 7 evaluated 68009 pairs
Thread 2 evaluated 99913 pairs
Thread 1 evaluated 62375 pairs
Thread 6 evaluated 84148 pairs
Thread 9 evaluated 77231 pairs
Thread 10 evaluated 65115 pairs
Thread 3 evaluated 87869 pairs
Thread 11 evaluated 95644 pairs
Thread 8 evaluated 91716 pairs
Thread 0 evaluated 70992 pairs
Thread 1 evaluated 62374 pairs
Thread 7 evaluated 68008 pairs
Thread 4 evaluated 80653 pairs
Thread 2 evaluated 99912 pairs
Thread 10 evaluated 65114 pairs
Thread 9 evaluated 77230 pairs
Thread 6 evaluated 84147 pairs
Thread 1 evaluated 62373 pairs
Thread 0 evaluated 70991 pairs
Thread 8 evaluated 91715 pairs
Thread 7 evaluated 68007 pairs
Thread 3 evaluated 87868 pairs
Thread 11 evaluated 95643 pairs
Thread 4 evaluated 80652 pairs
Thread 10 evaluated 65113 pairs
Thread 9 evaluated 77229 pairs
Thread 1 evaluated 62372 pairs
Thread 2 evaluated 99911 pairs
Thread 6 evaluated 84146 pairs
Thread 0 evaluated 70990 pairs
Thread 7 evaluated 68006 pairs
Thread 8 evaluated 91714 pairs
Thread 3 evaluated 87867 pairs
Thread 10 evaluated 65112 pairs
Thread 11 evaluated 95642 pairs
Thread 1 evaluated 62371 pairs
Thread 4 evaluated 80651 pairs
Thread 9 evaluated 77228 pairs
Thread 7 evaluated 68005 pairs
Thread 0 evaluated 70989 pairs
Thread 6 evaluated 84145 pairs
Thread 10 evaluated 65111 pairs
Thread 2 evaluated 99910 pairs
Thread 1 evaluated 62370 pairs
Thread 8 evaluated 91713 pairs
Thread 3 evaluated 87866 pairs
Thread 11 evaluated 95641 pairs
Thread 9 evaluated 77227 pairs
Thread 4 evaluated 80650 pairs
Thread 7 evaluated 68004 pairs
Thread 0 evaluated 70988 pairs
Thread 10 evaluated 65110 pairs
Thread 1 evaluated 62369 pairs
Thread 6 evaluated 84144 pairs
Thread 2 evaluated 99909 pairs
Thread 7 evaluated 68003 pairs
Thread 8 evaluated 91712 pairs
Thread 9 evaluated 77226 pairs
Thread 3 evaluated 87865 pairs
Thread 4 evaluated 80649 pairs
Thread 11 evaluated 95640 pairs
Thread 10 evaluated 65109 pairs
Thread 0 evaluated 70987 pairs
Thread 1 evaluated 62368 pairs
Thread 6 evaluated 84143 pairs
Thread 7 evaluated 68002 pairs
Thread 9 evaluated 77225 pairs
Thread 10 evaluated 65108 pairs
Thread 1 evaluated 62367 pairs
Thread 8 evaluated 91711 pairs
Thread 2 evaluated 99908 pairs
Thread 0 evaluated 70986 pairs
Thread 4 evaluated 80648 pairs
Thread 3 evaluated 87864 pairs
Thread 11 evaluated 95639 pairs
Thread 7 evaluated 68001 pairs
Thread 10 evaluated 65107 pairs
Thread 6 evaluated 84142 pairs
Thread 1 evaluated 62366 pairs
Thread 9 evaluated 77224 pairs
Thread 0 evaluated 70985 pairs
Thread 8 evaluated 91710 pairs
Thread 4 evaluated 80647 pairs
Thread 2 evaluated 99907 pairs
Thread 7 evaluated 68000 pairs
Thread 3 evaluated 87863 pairs
Thread 11 evaluated 95638 pairs
Thread 1 evaluated 62365 pairs
Thread 10 evaluated 65106 pairs
Thread 9 evaluated 77223 pairs
Thread 6 evaluated 84141 pairs
Thread 5 evaluated 74064 pairs
Thread 0 evaluated 70984 pairs
Thread 8 evaluated 91709 pairs
Thread 1 evaluated 62364 pairs
